Sim name,Distance,Volume,Time,Efficiency,Rate
1e5_kn_to10Mpc,10.0,3.811e-06,3.350,0.5373,335385.14
1e5_kn_to20Mpc,20.0,3.068e-05,3.350,0.4791,46710.91
1e5_kn_to30Mpc,30.0,1.033e-04,3.350,0.4159,15976.80
1e5_kn_to40Mpc,40.0,2.455e-04,3.350,0.3583,7806.93
1e5_kn_to50Mpc,50.0,4.788e-04,3.350,0.3041,4716.48
1e5_kn_to60Mpc,60.0,8.284e-04,3.350,0.2609,3176.62
1e5_kn_to70Mpc,70.0,1.314e-03,3.350,0.2211,2362.76
1e5_kn_to80Mpc,80.0,1.964e-03,3.350,0.1815,1926.84
1e5_kn_to90Mpc,90.0,2.794e-03,3.350,0.1476,1665.21
1e5_kn_to100Mpc,100.0,3.835e-03,3.350,0.1181,1515.85
1e5_kn_to110Mpc,110.0,5.102e-03,3.350,0.0949,1418.10
1e5_kn_to120Mpc,120.0,6.627e-03,3.350,0.0755,1371.77
1e5_kn_to130Mpc,130.0,8.422e-03,3.350,0.0602,1354.13
1e5_kn_to140Mpc,140.0,1.052e-02,3.350,0.0476,1370.16
1e5_kn_to150Mpc,150.0,1.294e-02,3.350,0.0387,1369.92
