phase,c,cerr,o,oerr
0.0,-17.09997682611881,0.21890351800000002,-17.00097682611881,0.21890351800000002
3.9769521,-18.312476826118807,0.018027756000000002,-18.213476826118807,0.018027756000000002
7.98057445,-19.009976826118812,0.050682837,-18.910976826118812,0.050682837
15.97493765,-18.97997682611881,0.038971143,-18.88097682611881,0.038971143
19.94138605,-18.62247682611881,0.074330344,-18.52347682611881,0.074330344
23.92909135,-18.226226826118808,0.11461211800000001,-18.127226826118807,0.11461211800000001
27.93048165,-18.249976826118807,0.040233692,-18.150976826118807,0.040233692
35.9042296,-18.19997682611881,0.088705975,-18.10097682611881,0.088705975
41.94580945,-17.67497682611881,0.132547161,-17.57597682611881,0.132547161
45.8701958,-17.55997682611881,0.039607448999999996,-17.46097682611881,0.039607448999999996
47.87523965,-17.28747682611881,0.126885775,-17.18847682611881,0.126885775
49.86893025,-16.72997682611881,0.054025457,-16.63097682611881,0.054025457
53.878915899999996,-16.94997682611881,0.032691742,-16.85097682611881,0.032691742
